Results,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
Average,  1.332,  0.847,125.069
Minimum,   1.192,   0.778,  94.324
Maximum,   1.483,   0.912, 11236.000
Std,   0.058,   0.029, 350.644
# In Calc, 1006, 1006, 1006

Date,EUR/USD Close,EUR/GBP Close,EUR/JPY Close
2010-06-29,1.2188,0.8089,107.83
2010-06-30,1.2229,0.8186,108.07
2010-07-01,1.2522,0.8247,109.63
2010-07-02,1.2547,0.8257,110.08
2010-07-05,1.2533,0.828,110.02
2010-07-06,1.2614,0.8333,110.35
2010-07-07,1.2634,0.8316,110.84
2010-07-08,1.2693,0.8374,112.16
2010-07-09,1.2639,0.8387,112.04
2010-07-12,1.2589,0.8375,111.52
2010-07-13,1.2717,0.8382,112.47
2010-07-14,1.2737,0.8347,112.43
2010-07-15,1.2914,0.8362,113.06
2010-07-16,1.2925,0.8446,111.89
2010-07-19,1.2945,0.8496,112.4
2010-07-20,1.2889,0.8433,112.63
2010-07-21,1.2766,0.8414,111.11
2010-07-22,1.2889,0.844,112
2010-07-23,1.2909,0.8371,112.73
2010-07-26,1.2995,0.8392,112.92
2010-07-27,1.3002,0.8338,114.3
2010-07-28,1.2979,0.8328,113.49
2010-07-29,1.3085,0.8378,113.63
2010-07-30,1.3054,0.831,112.81
2010-08-02,1.3167,0.8285,113.86
2010-08-03,1.3229,0.8296,113.56
2010-08-04,1.316,0.8279,113.53
2010-08-05,1.3178,0.8297,113.03
2010-08-06,1.3288,0.8321,113.45
2010-08-09,1.3223,0.8313,113.52
2010-08-10,1.3191,0.8316,112.57
2010-08-11,1.2884,0.8213,109.94
2010-08-12,1.2828,0.8234,110.16
2010-08-13,1.2753,0.8178,110.02
2010-08-16,1.2816,0.8188,109.33
2010-08-17,1.288,0.8267,110.11
2010-08-18,1.286,0.8243,109.9
2010-08-19,1.2819,0.8218,109.38
2010-08-20,1.2708,0.8183,108.89
2010-08-23,1.2665,0.8158,107.9
2010-08-24,1.2674,0.8209,106.68
2010-08-25,1.2653,0.819,107.26
2010-08-26,1.2735,0.8194,107.56
2010-08-27,1.2738,0.8207,108.71
2010-08-30,1.2662,0.8188,107.17
2010-08-31,1.2684,0.8262,106.5
2010-09-01,1.2802,0.8284,108.15
2010-09-02,1.2815,0.8325,107.97
